Auto,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,?,Echtzeit Büro,Echtzeit Büro.1,Echtzeit Büro.2,Auto. ,Auto. .1,Echtzeit Büro.3,Auto.1,Unnamed: 23
KW,Geplantes Ankunftsdatum,Ist Datum,"Timeslot getroffen 
(Ja / Nein)",SCI,Lenkzeit,Destination City,Trailer,LS Nummern,Status Auftrag fertig fürs Lager,Nachträgliche Änderugen (Ja/Nein),Status Verladung,ATTP Portal Status ,SCI OTM,Anzahl verladene Positionen laut Lieferschein (ingesamt),Geplante Ladezeit,Ankunft Office,Verladung gestartet ,Verladung beendet ,Wartezeit bis Verladebeginn ,Verladungszeit,Loaded at Bayreuth (Documents finished),"On time innerhalb 2,5 Std. (Automatisch berechnet) ",Bemerkungen
nn,dd.mm.yy,dd.mm.yy,Auswahlliste,1000xxxxx,in Minuten,Schreibe,Schreibe,Schreibe,Auswahlliste,Auswahlliste,Auswahlliste,soll 80,ok,nn,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe
2,2024-01-11 00:00:00,2024-01-11 00:00:00,Ja,,600,SUPER-DEPOT 1,BTST9351,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,19,16:00:00,15:45:00,16:00:00,16:15:00,00:15:00,00:15:00,16:20:00,00:35:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,ja,,600,SUPER-DEPOT 2,BTST9353,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,18,17:00:00,16:55:00,17:00:00,17:10:00,00:05:00,00:10:00,17:15:00,00:20:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,nein,,600,SUPER-DEPOT 3,BTST9360,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,17,18:00:00,17:35:00,17:40:00,18:00:00,00:05:00,00:20:00,18:05:00,00:30:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,Ja,1000450036,540,Duisburg 2,6E98165,3202692593 / 3202692594,Erledigt,,Verladen + PGI,80,ok,35,10:00:00,09:55:00,10:15:00,10:45:00,00:20:00,00:30:00,11:05:00,01:10:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,nein,1000450038,210,Großbeeren 2,5E79772,3202629954 / 3202629955 / 3202629956,Erledigt,,Verladen + PGI,80,ok,37,11:00:00,13:10:00,14:10:00,14:35:00,01:00:00,00:25:00,14:40:00,01:30:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,nein,1000450043,300,Hamburg 2,5E70911,3202629959 / 3202692590,Erledigt,,Verladen + PGI,80,ok,37,11:00:00,12:00:00,14:00:00,14:30:00,02:00:00,00:30:00,14:35:00,02:35:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,,1000450056,,Langenbach 2,5E92720,3202629957 / 3202629958,Erledigt,,Verschoben,80,,37,12:00:00,,,,00:00:00,00:00:00,,00:00:00,Nicht aufgetaucht
2,2024-01-11 00:00:00,2024-01-11 00:00:00,ja,1000450048,360,Hannover 2,6E98165,3202692591 / 3202692592,Erledigt,,Verladen + PGI,80,ok,39,12:00:00,11:55:00,12:35:00,13:20:00,00:40:00,00:45:00,13:30:00,01:35:00,
2,2024-01-11 00:00:00,2024-01-11 00:00:00,nein,1000450059,480,Mainz 2,5E77194,3202692595 / 3202692596,Erledigt,,Verladen + PGI,80,ok,39,13:00:00,10:55:00,15:20:00,15:55:00,04:25:00,00:35:00,16:00:00,05:05:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,nein,,600,SUPER-DEPOT 1,BTST9351,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,12,16:00:00,16:25:00,16:40:00,16:50:00,00:15:00,00:10:00,16:55:00,00:30:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,ja,,600,SUPER-DEPOT 2,BTST9353,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,21,17:00:00,17:00:00,17:05:00,17:25:00,00:05:00,00:20:00,17:30:00,00:30:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,nein,,600,SUPER-DEPOT 3,BTST9352,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,5,17:00:00,16:20:00,17:45:00,17:55:00,01:25:00,00:10:00,18:00:00,01:40:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,nein,,600,SUPER-DEPOT 4,BTST9359,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,24,18:00:00,17:10:00,18:00:00,18:25:00,00:50:00,00:25:00,18:30:00,01:20:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,nein,,600,SUPER-DEPOT 5,BTST9343,Schkeuditz / Leipzig 2,,,Verladen + PGI,,,28,19:00:00,19:20:00,19:25:00,19:45:00,00:05:00,00:20:00,19:50:00,00:30:00,
2,2024-01-12 00:00:00,2024-01-12 00:00:00,ja,,,SUPER-DEPOT 6,BTST9358,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,16,20:00:00,19:45:00,20:15:00,20:30:00,00:30:00,00:15:00,20:35:00,00:50:00,
2,2024-01-11 00:00:00,2024-01-12 00:00:00,nein,1000450056,480,Langenbach 2,5E92720,3202629957 / 3202629958,Erledigt,,Verladen + PGI,80,,37,12:00:00,12:00:00,12:20:00,12:50:00,00:20:00,00:30:00,13:00:00,01:00:00,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,ja,,540,SUPER-DEPOT 1,BTST9353,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,18,16:00:00,16:10:00,16:40:00,17:00:00,00:30:00,00:20:00,17:10:00,01:00:00,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,nein,,540,SUPER-DEPOT 2,BTST9358,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,26,17:00:00,16:35:00,17:15:00,18:00:00,00:40:00,00:45:00,18:05:00,01:30:00,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,nein,,540,SUPER-DEPOT 3,BTST9352,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,26,17:00:00,16:30:00,17:40:00,18:20:00,01:10:00,00:40:00,18:30:00,02:00:00,
