Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
2,12.01.24,12.01.24,1000449796,540,Pecs 9,4300936139 / 9185195721 4300936138 / 9185188277,Eingelagert,22 / 11,ok,ok,12:15:00,13:00:00,13:30:00,00:45:00,00:30:00,13:35:00,,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 1,9185219581,Eingelagert,33,,,06:00:00,06:05:00,06:25:00,00:05:00,00:20:00,,SKU 10186059 / 10190470,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 2,9185256645,Eingelagert,33,,,07:00:00,07:05:00,07:20:00,00:05:00,00:15:00,,SKU 10186065,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,1000449422,600,Kanfanar 1,4300936623 / 9185146318 4300936661 / 9185217424,Eingelagert,5 // 17,,ok,08:00:00,08:30:00,08:50:00,00:30:00,00:20:00,09:00:00,,00:50:00
3,2024-01-15 00:00:00,2024-01-15 00:00:00,1000449821,600,Pecs 1,4300936627 / 9185213441 4300936539 / 9185210151,Eingelagert,3 // 32,ok,ok,08:20:00,08:30:00,09:00:00,00:10:00,00:30:00,09:00:00,,00:40:00
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,120,Gizeh 1,186889166,Eingelagert,34,,,08:25:00,09:05:00,09:30:00,00:40:00,00:25:00,09:40:00,,01:05:00
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 3,9185160574,Eingelagert,33,ok,,08:20:00,08:30:00,08:50:00,00:10:00,00:20:00,,SKU 10186194 / 10188936,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 4,9185257865,Eingelagert,33,ok,,10:25:00,10:30:00,10:50:00,00:05:00,00:20:00,,SKU 10186059 / 10186065,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,1000450277,240,Ploiesti 1,4300936398 / 9185186998 4200214794 / 9185198046,Eingelagert,22 // 16,ok,ok,11:00:00,11:30:00,11:55:00,00:30:00,00:25:00,12:05:00,,00:55:00
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 5,9185199888,Eingelagert,33,80,,11:55:00,12:00:00,12:20:00,00:05:00,00:20:00,,SKU 10186059 / 10188936,
