"plz","ort","bundesland","landkreis","lon","lat"
"01996","Schipkau","Brandenburg","Landkreis Oberspreewald-Lausitz",13.91667,51.55
"01998","Klettwitz","Brandenburg","Landkreis Oberspreewald-Lausitz",13.9,51.55
"02625","Bautzen","Sachsen","Landkreis Bautzen",14.42361,51.18167
"02627","Hochkirch","Sachsen","Landkreis Bautzen",14.58333,51.13333
"02633","Gaußig","Sachsen","Landkreis Bautzen",14.36667,51.13333
"02681","Schirgiswalde-Kirschau","Sachsen","Landkreis Bautzen",14.43333,51.08333
"02689","Sohland a. d. Spree","Sachsen","Landkreis Bautzen",14.46667,51.05
"02692","Doberschau-Gaußig","Sachsen","Landkreis Bautzen",14.36667,51.13333
"02694","Großdubrau","Sachsen","Landkreis Bautzen",14.46667,51.25
"02699","Königswartha","Sachsen","Landkreis Bautzen",14.33333,51.3
"02708","Löbau","Sachsen","Landkreis Görlitz",14.66667,51.1
"02727","Neusalza-Spremberg","Sachsen","Landkreis Görlitz",14.53333,51.03333
"02730","Ebersbach-Neugersdorf","Sachsen","Landkreis Görlitz",14.58333,51.01667
"02733","Cunewalde","Sachsen","Landkreis Bautzen",14.51667,51.1
"02736","Beiersdorf","Sachsen","Landkreis Görlitz",14.55,51.08333
"02739","Oberschöna","Sachsen","Landkreis Mittelsachsen",13.25,50.91667
"02742","Neusalza-Spremberg","Sachsen","Landkreis Görlitz",14.53333,51.03333
"02747","Herrnhut","Sachsen","Landkreis Görlitz",14.75,51.01667
"02748","Bernstadt a. d. Eigen","Sachsen","Landkreis Görlitz",14.83333,51.05
"02763","Zittau","Sachsen","Landkreis Görlitz",14.8075,50.89611
"02779","Großschönau","Sachsen","Landkreis Görlitz",14.66667,50.9
"02782","Seifhennersdorf","Sachsen","Landkreis Görlitz",14.61667,50.93333
"02785","Olbersdorf","Sachsen","Landkreis Görlitz",14.78333,50.86667
"02788","Schönau-Berzdorf a. d. Eigen","Sachsen","Landkreis Görlitz",14.85,51.01667
"02791","Oderwitz","Sachsen","Landkreis Görlitz",14.73333,50.95
"02794","Leutersdorf","Sachsen","Landkreis Görlitz",14.65,50.95
"02797","Kurort Oybin","Sachsen","Landkreis Görlitz",14.75,50.85
"02799","Großschönau","Sachsen","Landkreis Görlitz",14.66667,50.9
"02826","Görlitz","Sachsen","Landkreis Görlitz",14.98694,51.15222
"02827","Görlitz","Sachsen","Landkreis Görlitz",14.98694,51.15222
"02828","Görlitz","Sachsen","Landkreis Görlitz",14.98694,51.15222
"02829","Königshain","Sachsen","Landkreis Görlitz",14.83333,51.16667
"02894","Reichenbach/O.L.","Sachsen","Landkreis Görlitz",14.8,51.15
"02899","Ostritz","Sachsen","Landkreis Görlitz",14.93333,51.01667
"02906","Niesky","Sachsen","Landkreis Görlitz",14.81667,51.28333
"02923","Hähnichen","Sachsen","Landkreis Görlitz",14.85,51.35
"02929","Rothenburg/O.L.","Sachsen","Landkreis Görlitz",14.96667,51.33333
"02943","Weißwasser/O.L.","Sachsen","Landkreis Görlitz",14.63333,51.5
"02953","Bad Muskau","Sachsen","Landkreis Görlitz",14.71667,51.55
"02956","Rietschen","Sachsen","Landkreis Görlitz",14.78333,51.41667
"02957","Krauschwitz","Sachsen","Landkreis Görlitz",14.7,51.51667
"02959","Schleife","Sachsen","Landkreis Görlitz",14.55,51.53333
"02977","Hoyerswerda","Sachsen","Landkreis Bautzen",14.25,51.43333
"02979","Elsterheide","Sachsen","Landkreis Bautzen",14.18333,51.48333
"02991","Laubusch","Sachsen","Landkreis Bautzen",14.2,51.48333
