ID,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,SapOrderNumber,SSCC,Printer,Copies,Status,ErrorText,DangerousGoodsUNNumber,DangerousGoodsWeight,LabelTemplate
6710,2022-10-18T17:12:25.0980778+00:00,Maximilian Kolb,,,3202191030,340313000104466052,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6711,2022-10-18T17:21:26.3582405+00:00,Stefanie Wolfrum,,,3202191035,140313001112810192,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6712,2022-10-18T17:32:59.7902819+00:00,Maximilian Kolb,,,3202191030,659031410523335594,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6713,2022-10-19T05:23:58.3422180+00:00,Alexander Bretter,,,3202191027,140313001112792849,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6714,2022-10-19T05:24:48.6155873+00:00,Alexander Bretter,,,3202191027,140313001112792832,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6715,2022-10-19T05:33:54.8675264+00:00,Thair Abdulabbas,,,3202191028,140313001112809868,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6716,2022-10-19T05:34:43.5132848+00:00,Thair Abdulabbas,,,3202191028,140313001112809837,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6717,2022-10-19T05:35:32.7765220+00:00,Thair Abdulabbas,,,3202191028,140313001112809844,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6718,2022-10-19T05:35:59.9443567+00:00,Thair Abdulabbas,,,3202191028,140313001112809851,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6719,2022-10-19T05:36:29.8395146+00:00,Thair Abdulabbas,,,3202191028,659031410523114052,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6720,2022-10-19T05:37:33.9602923+00:00,Thair Abdulabbas,,,3202191028,659031410523327117,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6721,2022-10-19T06:40:59.5271478+00:00,Alexander Bretter,,,3202191031,140313001112810116,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6722,2022-10-19T06:42:15.2295012+00:00,Alexander Bretter,,,3202191031,140313001112810130,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6723,2022-10-19T06:42:32.8015456+00:00,Alexander Bretter,,,3202191031,140313001112810123,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6724,2022-10-19T06:44:39.6082508+00:00,Patrick Keiner,,,3202191038,340313000110338220,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6725,2022-10-19T06:45:52.9796433+00:00,Patrick Keiner,,,3202191038,340313000110338190,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6726,2022-10-19T06:47:11.6693655+00:00,Patrick Keiner,,,3202191038,659031410523228087,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6727,2022-10-19T06:48:15.9946818+00:00,Patrick Keiner,,,3202191038,659031410523215322,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6728,2022-10-19T06:51:20.5619010+00:00,Thair Abdulabbas,,,3202191021,140313001112792641,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6729,2022-10-19T06:52:01.6175883+00:00,Thair Abdulabbas,,,3202191021,140313001112792634,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6730,2022-10-19T06:52:59.6723182+00:00,Thair Abdulabbas,,,3202191021,340313001610007876,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6731,2022-10-19T06:53:16.4886926+00:00,Manuela Lautner,,,3202191043,340313000104489143,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6732,2022-10-19T06:54:09.8346795+00:00,Thair Abdulabbas,,,3202191021,140313001112792665,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6733,2022-10-19T06:54:30.7349047+00:00,Thair Abdulabbas,,,3202191021,140313001112792658,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6734,2022-10-19T06:55:01.0462109+00:00,Manuela Lautner,,,3202191043,140313001112817573,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6735,2022-10-19T06:55:09.3383666+00:00,Thair Abdulabbas,,,3202191021,340313001610007883,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6736,2022-10-19T06:55:42.2396994+00:00,Thair Abdulabbas,,,3202191021,140313001112792672,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6737,2022-10-19T06:56:45.6871460+00:00,Thair Abdulabbas,,,3202191021,340313001200181108,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6738,2022-10-19T06:57:46.1095406+00:00,Thair Abdulabbas,,,3202191021,340313001200178399,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6739,2022-10-19T06:58:43.2957509+00:00,Thair Abdulabbas,,,3202191021,340313000110347352,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6740,2022-10-19T06:59:05.4696780+00:00,85139386,,,3202191043,340313000104489143,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6741,2022-10-19T07:00:09.0488532+00:00,Thair Abdulabbas,,,3202191021,340313000110367602,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6742,2022-10-19T07:01:05.7623720+00:00,Thair Abdulabbas,,,3202191021,340313000104489129,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6743,2022-10-19T07:01:59.8902792+00:00,Thair Abdulabbas,,,3202191021,340313000110366308,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6744,2022-10-19T07:02:50.3772561+00:00,Thair Abdulabbas,,,3202191021,340313000110366315,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6745,2022-10-19T07:03:43.7321687+00:00,Thair Abdulabbas,,,3202191021,340313000104465222,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6746,2022-10-19T07:25:40.5598256+00:00,Patrick Keiner,,,3202191041,140313001112817542,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6747,2022-10-19T07:27:30.6453959+00:00,Patrick Keiner,,,3202191041,140313001112817535,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6748,2022-10-19T07:35:46.5153045+00:00,Alexander Bretter,,,3202191037,659031410523217838,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6749,2022-10-19T07:36:10.4564609+00:00,Alexander Bretter,,,3202191037,659031410523231728,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6750,2022-10-19T07:36:28.3138098+00:00,Alexander Bretter,,,3202191037,340313000104488856,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6751,2022-10-19T07:36:58.6348465+00:00,Thair Abdulabbas,,,3202191034,340313000104488887,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6752,2022-10-19T07:48:58.8598728+00:00,Manuela Lautner,,,3202191044,140313001112817498,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6753,2022-10-19T07:50:19.9771288+00:00,Manuela Lautner,,,3202191044,140313001112817511,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6754,2022-10-19T07:53:09.0877292+00:00,Manuela Lautner,,,3202191044,140313001112817504,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6755,2022-10-19T08:05:38.0708541+00:00,Patrick Keiner,,,3202191042,140313001112810314,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6756,2022-10-19T08:07:12.2412913+00:00,Patrick Keiner,,,3202191042,140313001112810321,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6757,2022-10-19T08:16:00.3209894+00:00,Manuela Lautner,,,3202191039,140313001112810277,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6758,2022-10-19T08:20:54.8370332+00:00,Christian Hammann,,,3202192175,140313001112817610,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6759,2022-10-19T08:22:57.7567322+00:00,85139386,,,3202192175,140313001112817610,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6760,2022-10-19T08:25:17.8326445+00:00,85139386,,,3202192175,140313001112817610,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6761,2022-10-19T08:28:39.0598668+00:00,Susanne Niporschke,,,3202191040,140313001112810239,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6762,2022-10-19T08:31:04.1506504+00:00,Patrick Keiner,,,3202191045,140313001112810352,DEBY-P473,1,Failed,NiceLabel ist nicht erreichbar.,,,../Labels/SuperDepot_148_210.nlbl
6763,2022-10-19T08:31:55.2281207+00:00,Thair Abdulabbas,,,3202191047,140313001112817368,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6764,2022-10-19T08:33:14.2832669+00:00,Patrick Keiner,,,3202191045,140313001112810352,DEBY-P473,1,Failed,NiceLabel ist nicht erreichbar.,,,../Labels/SuperDepot_148_210.nlbl
6765,2022-10-19T08:33:33.8247113+00:00,Thair Abdulabbas,,,3202191047,140313001112817351,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6766,2022-10-19T08:35:43.7729558+00:00,Thair Abdulabbas,,,3202191047,140313001112817344,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6767,2022-10-19T08:36:10.1424314+00:00,Bernd Schwing,,,3202191029,140313001112809929,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6768,2022-10-19T08:36:48.2796595+00:00,Bernd Schwing,,,3202191029,140313001112809936,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6769,2022-10-19T08:37:14.8093406+00:00,Bernd Schwing,,,3202191029,140313001112809912,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6770,2022-10-19T08:37:40.7827098+00:00,Christian Hammann,,,3202191033,140313001112810079,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
