SapOrderNumber,ItemNumber,KVP,Outers,CorrespondingCartons,CorrespondingOuters,CorrespondingPackages,PackagesPerOuter,InternationalArticleNumberForOuter,MaterialNumber,ParentItemNumber,InternationalArticleNumberForMastercase,OuterPerMastercase,CorrespondingMastercases,CorrespondingPallets,MastercasePerPallet,VolumeInMTQ,MaterialGroup,MaterialType,TPDIndicator,OUT,VolInThKg,PlannedDate,IsReturnDelivery,IsDeleted
3202235764,000220,49.2,180,6,0,0,6,4031300283783,10185733,,4031300284117,30,6,0,23,0.28033919999999996,,,,,,03.11.2023,False,False
3202235764,000230,39.6,60,2,0,0,6,4031300284230,10185739,,4031300284407,30,2,0,23,0.0934464,,,,,,03.11.2023,False,False
3202235764,000240,39.6,120,4,0,0,6,4031300283820,10185735,,4031300284155,30,4,0,23,0.1868928,,,,,,03.11.2023,False,False
3202235764,000250,39.6,240,8,0,0,6,4031300284193,10185741,,4031300284360,30,8,0,23,0.3737856,,,,,,03.11.2023,False,False
3202235765,000010,60.0,18,1,0,0,10,4031300284933,10185724,,4031300285169,18,1,0,32,0.040142592,,,,,,03.11.2023,False,False
3202235766,000010,80.0,840,42,0,0,8,4031300301869,10187672,,4031300301883,20,0,1,42,1.711,,,,,,03.11.2023,False,False
3202235766,000020,80.0,1680,84,0,0,8,4031300301876,10187692,,4031300301890,20,0,2,42,3.422,,,,,,03.11.2023,False,False
3202235766,000030,92.0,50,1,0,0,10,4031300294994,10177147,,4031300295410,50,1,0,21,0.0669,,,,,,03.11.2023,False,False
3202235766,000040,80.0,50,2,0,0,10,4031300295038,10181503,,4031300295458,25,2,0,42,0.055729999999999995,,,,,,03.11.2023,False,False
3202235766,000050,79.2,20,1,0,0,8,4031300300732,10186911,,4031300300756,20,1,0,42,0.032149000000000004,,,,,,03.11.2023,False,False
3202235766,000060,57.6,100,4,0,0,8,4031300301340,10186996,,4031300301364,25,4,0,42,0.128556,,,,,,03.11.2023,False,False
3202235766,000070,57.6,25,1,0,0,8,4031300301357,10187013,,4031300301371,25,1,0,42,0.032139,,,,,,03.11.2023,False,False
3202235766,000080,85.0,175,7,0,0,10,4031300295052,10177134,,4031300295472,25,7,0,42,0.206787,,,,,,03.11.2023,False,False
3202235766,000090,87.0,50,2,0,0,10,4031300295076,10177125,,4031300295496,25,2,0,36,0.0708,,,,,,03.11.2023,False,False
3202235766,000100,82.0,100,4,0,0,10,4031300295113,10177149,,4031300295533,25,4,0,42,0.118164,,,,,,03.11.2023,False,False
3202235766,000110,85.0,25,1,0,0,10,4031300295151,10177126,,4031300295571,25,1,0,36,0.0354,,,,,,03.11.2023,False,False
3202235766,000120,82.0,50,2,0,0,10,4031300295830,10177128,,4031300295977,25,2,0,42,0.059082,,,,,,03.11.2023,False,False
3202235766,000130,80.0,140,7,0,0,8,4031300297087,10179850,,4031300297476,20,7,0,42,0.210875,,,,,,03.11.2023,False,False
3202235766,000140,108.0,128,8,0,0,12,4031300297063,10179902,,4031300297452,16,8,0,48,0.22824799999999998,,,,,,03.11.2023,False,False
3202235766,000150,80.0,20,1,0,0,8,4031300297100,10182495,,4031300297490,20,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235766,000160,60.0,175,7,0,0,3,4031300296929,10186803,,4031300297315,25,7,0,49,0.17761100000000002,,,,,,03.11.2023,False,False
3202235766,000170,108.0,128,8,0,0,12,4031300296790,10186704,,4031300297186,16,8,0,48,0.22480000000000003,,,,,,03.11.2023,False,False
3202235766,000180,80.0,840,42,0,0,8,4031300296813,10186705,,4031300297209,20,0,1,42,1.711,,,,,,03.11.2023,False,False
3202235766,000190,105.0,120,6,0,0,6,4031300296875,10187572,,4031300297261,20,6,0,42,0.20311199999999996,,,,,,03.11.2023,False,False
3202235766,000200,104.0,40,2,0,0,8,4031300296851,10186786,,4031300297247,20,2,0,42,0.06429800000000001,,,,,,03.11.2023,False,False
3202235766,000210,108.0,768,48,0,0,12,4031300297940,10187107,,4031300298428,16,0,1,48,1.918,,,,,,03.11.2023,False,False
3202235766,000220,78.0,75,3,0,0,10,4031300296172,10187129,,4031300296356,25,3,0,42,0.08862300000000001,,,,,,03.11.2023,False,False
3202235766,000230,78.0,100,4,0,0,10,4031300296233,10179952,,4031300296417,25,4,0,42,0.118164,,,,,,03.11.2023,False,False
3202235766,000240,58.5,1225,49,0,0,3,4031300297834,10189149,,4031300298312,25,0,1,49,1.878,,,,,,03.11.2023,False,False
3202235766,000250,99.0,840,42,0,0,6,4031300297803,10189159,,4031300298282,20,0,1,42,1.871,,,,,,03.11.2023,False,False
3202235766,000260,96.0,840,42,0,0,8,4031300297780,10186615,,4031300298268,20,0,1,42,1.918,,,,,,03.11.2023,False,False
3202235766,000270,58.5,2450,98,0,0,3,4031300297681,10189148,,4031300298169,25,0,2,49,3.756,,,,,,03.11.2023,False,False
3202235766,000280,85.0,50,2,0,0,10,4031300295212,10178570,,4031300295632,25,2,0,42,0.059082,,,,,,03.11.2023,False,False
3202235766,000290,82.0,200,8,0,0,10,4031300295298,10178602,,4031300295717,25,8,0,56,0.210848,,,,,,03.11.2023,False,False
3202235766,000300,82.0,100,4,0,0,10,4031300295311,10178603,,4031300295731,25,4,0,56,0.110124,,,,,,03.11.2023,False,False
3202235766,000310,82.0,200,8,0,0,10,4031300295335,10178619,,4031300295755,25,8,0,56,0.220248,,,,,,03.11.2023,False,False
3202235766,000320,80.0,20,1,0,0,8,4031300293591,10173495,,4031300293614,20,1,0,42,0.0314,,,,,,03.11.2023,False,False
3202235766,000330,80.0,40,2,0,0,8,4031300297971,10179953,,4031300298459,20,2,0,42,0.06025,,,,,,03.11.2023,False,False
3202235767,000010,29.0,50,2,0,0,10,4031300279953,10170734,,4031300279991,25,2,0,36,0.07893156,,,,,,03.11.2023,False,False
3202235767,000020,29.0,100,4,0,0,10,4031300279939,10170724,,4031300279977,25,4,0,36,0.15786312,,,,,,03.11.2023,False,False
3202235767,000030,99.75,6,1,0,0,5,4031300285855,10179240,,4031300286432,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235767,000040,33.0,120,4,0,0,6,4031300285329,10179241,,4031300285909,30,4,0,23,0.1868928,,,,,,03.11.2023,False,False
3202235767,000050,58.0,50,1,0,0,10,4031300294819,10177872,,4031300294826,50,1,0,21,0.0439,,,,,,03.11.2023,False,False
3202235767,000060,58.0,50,1,0,0,10,4031300294857,10178123,,4031300294864,50,1,0,21,0.0439,,,,,,03.11.2023,False,False
3202235767,000070,58.0,50,1,0,0,10,4031300298756,10178388,,4031300298879,50,1,0,21,0.0451369,,,,,,03.11.2023,False,False
3202235767,000080,59.95,160,40,0,0,1,4031300299845,10186065,,4031300299876,4,0,1,40,1.757,,,,,,03.11.2023,False,False
3202235767,000090,64.75,6,1,0,0,5,4031300300237,10186248,,4031300300244,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235767,000100,64.75,6,1,0,0,5,4031300300268,10186263,,4031300300275,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235767,000110,39.8,60,10,0,0,4,4031300300350,10188952,,4031300300411,6,10,0,35,0.361,,,,,,03.11.2023,False,False
3202235767,000120,79.8,42,7,0,0,4,4031300282786,10186200,,4031300283066,6,7,0,35,0.23170000000000002,,,,,,03.11.2023,False,False
3202235767,000130,29.95,60,10,0,0,1,4031300299883,10188935,,4031300299944,6,10,0,28,0.35037,,,,,,03.11.2023,False,False
3202235767,000140,79.8,6,1,0,0,4,4031300300473,10186199,,4031300300480,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235767,000150,39.95,140,14,0,0,1,4031300283196,10186211,,4031300283295,10,14,0,35,0.46340000000000003,,,,,,03.11.2023,False,False
3202235767,000160,29.95,504,84,0,0,1,4031300283400,10186059,,4031300283516,6,0,2,42,3.848,,,,,,03.11.2023,False,False
3202235767,000170,49.95,20,5,0,0,1,4031300301906,10188936,,4031300301913,4,5,0,40,0.15,,,,,,03.11.2023,False,False
3202235767,000180,24.95,108,6,0,0,1,4031300283165,10186194,,4031300283264,18,6,0,30,0.19860000000000003,,,,,,03.11.2023,False,False
3202235767,000190,24.95,36,2,0,0,1,4031300283127,10186201,,4031300283226,18,2,0,30,0.06620000000000001,,,,,,03.11.2023,False,False
3202235767,000200,79.8,6,1,0,0,4,4031300300343,10186243,,4031300300404,6,1,0,35,0.033100000000000004,,,,,,03.11.2023,False,False
3202235767,000210,99.75,18,3,0,0,5,4031300299715,10190470,,4031300299760,6,3,0,35,0.1125,,,,,,03.11.2023,False,False
3202235767,000220,37.2,30,1,0,0,6,4031300284315,10185721,,4031300284483,30,1,0,23,0.0467232,,,,,,03.11.2023,False,False
3202235767,000230,51.0,30,1,0,0,6,4031300283585,10185699,,4031300283912,30,1,0,23,0.0467232,,,,,,03.11.2023,False,False
3202235767,000240,85.0,36,2,0,0,10,4031300283622,10190456,,4031300283950,18,2,0,32,0.080285184,,,,,,03.11.2023,False,False
3202235767,000250,49.2,90,3,0,0,6,4031300283660,10185711,,4031300283998,30,3,0,23,0.14016959999999998,,,,,,03.11.2023,False,False
3202235767,000260,49.2,30,1,0,0,6,4031300283707,10185704,,4031300284032,30,1,0,23,0.0467232,,,,,,03.11.2023,False,False
3202235767,000270,49.2,120,4,0,0,6,4031300283783,10185733,,4031300284117,30,4,0,23,0.1868928,,,,,,03.11.2023,False,False
3202235767,000280,39.6,60,2,0,0,6,4031300284230,10185739,,4031300284407,30,2,0,23,0.0934464,,,,,,03.11.2023,False,False
3202235767,000290,39.6,180,6,0,0,6,4031300283820,10185735,,4031300284155,30,6,0,23,0.28033919999999996,,,,,,03.11.2023,False,False
3202235767,000300,39.6,210,7,0,0,6,4031300284193,10185741,,4031300284360,30,7,0,23,0.3270624,,,,,,03.11.2023,False,False
3202235767,000310,58.0,50,1,0,0,10,4031300294796,10178108,,4031300294802,50,1,0,21,0.0439,,,,,,03.11.2023,False,False
3202235767,000320,79.8,18,3,0,0,4,4031300300541,10186180,,4031300300572,6,3,0,35,0.09930000000000001,,,,,,03.11.2023,False,False
3202235768,000010,58.5,75,3,0,0,3,4031300297681,10189148,,4031300298169,25,3,0,49,0.096447,,,,,,03.11.2023,False,False
3202235768,000020,58.5,25,1,0,0,3,4031300297834,10189149,,4031300298312,25,1,0,49,0.030125,,,,,,03.11.2023,False,False
3202235768,000030,80.0,20,1,0,0,8,4031300301869,10187672,,4031300301883,20,1,0,42,0.030125,,,,,,03.11.2023,False,False
3202235768,000040,80.0,40,2,0,0,8,4031300301876,10187692,,4031300301890,20,2,0,42,0.06025,,,,,,03.11.2023,False,False
3202235768,000050,82.0,4,0,4,0,10,4031300295335,10178619,,4031300295755,25,0,0,56,0.003676,,,,,,03.11.2023,False,False
3202235768,000060,82.0,4,0,4,0,10,4031300295298,10178602,,4031300295717,25,0,0,56,0.003676,,,,,,03.11.2023,False,False
3202235768,000070,82.0,3,0,3,0,10,4031300295311,10178603,,4031300295731,25,0,0,56,0.002757,,,,,,03.11.2023,False,False
3202235768,000080,7.5,4,0,4,0,5,4031300063286,50063231,,4031300063323,10,0,0,20,0.024304,,,,,,03.11.2023,False,False
3202235769,000010,29.95,252,42,0,0,1,4031300283400,10186059,,4031300283516,6,0,1,42,1.924,,,,,,03.11.2023,False,False
3202260165,000010,58.0,5,0,5,0,10,4031300279878,10166831,,4031300279885,50,0,0,21,0.00395,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000020,58.0,8,0,8,0,10,4031300276815,10176700,,4031300276945,50,0,0,21,0.00606528,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000030,55.0,4,0,4,0,10,4031300271346,10160720,,4031300271605,50,0,0,21,0.00316,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000040,58.0,1,0,1,0,10,4031300276792,10176833,,4031300276921,50,0,0,21,0.00075816,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000050,58.0,2,0,2,0,10,4031300276877,10176734,,4031300277003,50,0,0,21,0.00151632,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000060,55.0,5,0,5,0,10,4031300271322,10134176,,4031300271582,50,0,0,21,0.00395,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000070,58.0,3,0,3,0,10,4031300276884,10176737,,4031300277010,50,0,0,21,0.00227448,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000080,58.0,3,0,3,0,10,4031300276884,10166480,,4031300277010,50,0,0,21,0.00237,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000090,58.0,8,0,8,0,10,4031300276808,10176832,,4031300276938,50,0,0,21,0.00606528,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000100,55.0,2,0,2,0,10,4031300278246,10166790,,4031300278253,50,0,0,21,0.00158,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000110,55.0,1,0,1,0,10,4031300278246,10160752,,4031300278253,50,0,0,21,0.00079,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202260165,000120,58.0,1,0,1,0,10,4031300276808,10166797,,4031300276938,50,0,0,21,0.0079,ZFG510000,ZFER,Y,,,16.11.2023,True,False
