Deliv. date(From/to),Name of the ship-to party,Sold-To Party,Delivery,Name,K&N Transportklasse,Zentrale Lieferstelle,Actual delivery qty,Gesamtgewicht Order,Kosten Picking Bayreuth,K&N_Kosten,TransportkostenLastMile_Fix_Kg_Preis,Paletten,Cases,Outers,Packs,Free of charge,Transportkosten
2024-01-09,Metro C&C Markt GmbH,50034858,3202686342,Metro C&C Markt GmbH,40.0,Nein,0.09,2.4210000000000003,6.93,4.6846,0.4149594,0,0,9,0,False,27.0
2024-01-09,Pressevertrieb Riedel KG,50035268,3202686325,Pressevertrieb Riedel KG,150.0,Nein,0.635,25.102,64.41000000000001,21.7911,4.3024828,0,1,82,0,False,55.95
2024-01-09,REWE Markt GmbH,50034106,3202686337,REWE Markt GmbH Lager 500,40.0,Nein,2.52,41.16,17.78,11.7882,7.054824,0,14,0,0,False,30.86
2024-01-09,Stefan Proskurnin,50034787,3202686331,Stefan Proskurnin,100.0,Nein,0.07,2.293,5.390000000000001,4.2338000000000005,0.3930202,0,0,7,0,False,38.58
2024-01-09,Tabacon Tabakwaren,50033751,3202686322,Tabacon Tabakwaren GmbH & Co. KG NL Berlin,20.0,Nein,0.05,2.3400000000000003,7.7,4.91,0.40107600000000004,0,0,10,0,False,27.0
2024-01-09,Tabacon Tabakwaren,50033910,3202686323,Tabacon Tabakwaren GmbH & Co. KG,,Nein,1.14,38.78,6.35,5.9175,6.646892000000001,0,5,0,0,False,
2024-01-09,Tabacon Tabakwaren GmbH & Co.KG,50033830,3202686324,Tabacon Tabakwaren GmbH & Co.KG,175.0,Nein,0.69,17.21,5.08,5.2652,2.9497940000000002,0,4,0,0,False,52.09
2024-01-09,Tabakwaren Union GmbH&CO.KG,50034705,3202686327,Tabakwaren Union GmbH&CO.KG,125.0,Nein,0.18,2.94,1.27,3.3083,0.503916,0,1,0,0,False,42.44
2024-01-09,Transgourmet DE GmbH & Co. OHG,50033807,3202686341,Transgourmet DE,30.0,Nein,0.01,0.143,0.77,2.8814,0.024510199999999996,0,0,1,0,False,27.0
2024-01-09,Transgourmet DE GmbH & Co. OHG,50034785,3202686345,Transgourmet DE,40.0,Nein,0.035,1.336,4.62,4.0084,0.2289904,0,0,6,0,False,27.0
2024-01-09,Uwe Siems GmbH,50034116,3202686332,Uwe Siems GmbH,50.0,Nein,0.025,1.086,2.31,3.3322000000000003,0.18614039999999998,0,0,3,0,False,27.0
2024-01-09,Winfried Breker,50035214,3202686329,Winfried Breker,50.0,Nein,0.15000000000000002,6.39,11.55,6.037,1.095246,0,0,15,0,False,27.0
2024-01-09,muellertobacco e.K.,50034059,3202686343,muellertobacco e.K.,125.0,Nein,0.51,14.312000000000001,40.04,14.3768,2.4530768,0,0,52,0,False,44.37
2024-01-09,tobaccoland Automatenges.mbH&Co.KG,50034401,3202686328,tobaccoland Automatenges.mbH&Co.KG,20.0,Nein,0.01,0.351,0.77,2.8814,0.0601614,0,0,1,0,False,27.0
2024-01-09,tobaccoland Automatenges.mbH&Co.KG,50035252,3202686330,tobaccoland Automatenges.mbH&Co.KG,50.0,Nein,0.1,2.6900000000000004,7.7,4.91,0.46106600000000003,0,0,10,0,False,27.0
